stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
957,CBBAOB,OGEECHEE & BAMBOO FARM WB,OCEAN HWY & BEL AIRE DR,31.996204,-81.267953,,,,,,0
958,CBBROB,CANEBRAKE & BAMBOO FARM WB,CANEBRAKE RD & CHIEF OF LOVE RD,31.996774,-81.270411,,,,,,0
959,CBSBCOB,CANEBRAKE & SHILOH BAPTIST WB,,31.999556,-81.275277,,,,,,0
960,CBCDCC,CANEBRAKE & CURTIS DAY CARE WB,,32.000809,-81.277492,,,,,,0
961,CBREOB,CANEBRAKE & RESIDENT 321 WB,,32.001945,-81.279504,,,,,,0
962,CBSOOB,CANEBRAKE & SONIC WB,,32.00284,-81.28107,,,,,,0
963,VICSHE,VICTORY & SHUPTRINE EB,,32.0395,-81.061534,,,,,,0
964,GATRIOB,GATEWAY & SCOTTISH INN SB,GATEWAY BLVD S & BASIN RD,32.002327,-81.281919,,,,,,0
965,JUVECT,JUVENILE COURT,CARL GRIFFIN DR & ZUBLEY ST,32.063189,-81.16651,,,,,,0
966,VICDWE,VICTORY & DOWNING EB,,32.038243,-81.05947,,,,,,0
968,VICWHE,VICTORY & WHATLEY EB,,32.035828,-81.05546,,,,,,0
969,WHASHW,WHATLEY & SHELL SB,,32.03354,-81.057152,,,,,,0
970,WHASUW,WHATLEY & SUNSET SB,,32.030659,-81.05745,,,,,,0
971,WHAOW,WHATLEY & OWENS SB,,32.028693,-81.05762,,,,,,0
976,COLOWE,COLLEGE & OWENS NB,,32.028092,-81.055291,,,,,,0
977,OWEWIN,OWENS & WHATLEY WB,,32.028909,-81.05744,,,,,,0
978,WHABEL,WHATLEY & BELL NB,,32.030228,-81.057461,,,,,,0
979,WHASHEA,WHATLEY & SHELL NB,,32.033145,-81.057194,,,,,,0
980,WHAROE,WHATLEY & ROWLAND NB,,32.035092,-81.055896,,,,,,0
981,VICWHW,VICTORY & WHATLEY WB,,32.036214,-81.0558,,,,,,0
983,VICEVW,VICTORY & EVERGREEN WB,,32.038306,-81.059225,,,,,,0
984,VICSHW,VICTORY & SHUPTRINE WB,,32.039562,-81.061331,,,,,,0
986,VICWAW,VICTORY & WALLIN WB,,32.042955,-81.06731,,,,,,0
987,VICLIW,VICTORY & LIMERICK WB,,32.044329,-81.071151,,,,,,0
988,VICHIW,VICTORY & HIBISCUS WB,,32.044876,-81.073076,,,,,,0
989,VICPAL,VICTORY & PALM WB,,32.045648,-81.075662,,,,,,0
990,BEE42I,BEE & 42nd NB,,32.046886,-81.076247,,,,,,0
992,BEE38I,BEE & 38th NB,,32.049363,-81.075375,,,,,,0
993,37WBEE,37th & BEE WB,,32.050656,-81.075619,,,,,,0
994,37WASH,37th & ASH WB,,32.051338,-81.078269,,,,,,0
995,37WCED,37th & CEDAR WB,,32.051786,-81.079939,,,,,,0
998,37WPAU,37th & PAULSEN WB,,32.053787,-81.087516,,,,,,0
999,37WATL,37th & ATLANTIC WB,,32.054433,-81.089771,,,,,,0
1001,37WEBR,37th & E BROAD WB,,32.055231,-81.092559,,,,,,0
1003,AHEBWIB,AL HENDERSON & BEST WESTERN NB,,32.006254,-81.279101,,,,,,0
1004,AHECLIB,AL HENDERSON & CLARION HOTEL NB,,32.007112,-81.276349,,,,,,0
1005,AHELGIB,AL HENDERSON & LINKS AT GEORGETOWN EB,GATEWAY BLVD E & UNNAMED ST,32.005518,-81.274388,,,,,,0
1007,AHERRIB,AL HENDERSON & RED ROOF INN EB,AL HENDERSON BLVD & GATEWAY BLVD E,32.004145,-81.274332,,,,,,0
1008,EBR35,E BROAD & 35th NB,,32.05708,-81.092124,,,,,,0
1009,EBR33,E BROAD & 33rd NB,,32.058282,-81.091688,,,,,,0
1011,AHEORIB,AL HENDERSON & OAKMOUNT EB,,32.002166,-81.261173,,,,,,0
1012,AHEPPIB,AL HENDERSON & POTTER'S PLACE EB,,32.002449,-81.258398,,,,,,0
1013,AHEBTIB,AL HENDERSON &  BROWN THRUSH EB,,32.004338,-81.255574,,,,,,0
1014,AHESCIB,AL HENDERSON & SAVANNAH CHRISTIAN EB,,32.005943,-81.250899,,,,,,0
1015,EBRANL,E BROAD & ANDERSON LANE NB,,32.060077,-81.091028,,,,,,0
1016,OGEKELIB,OGEECHEE & 204 EB,,31.998385,-81.251339,,,,,,0
1017,OGEDVIB,OGEECHEE & DAN VADEN EB,,31.997722,-81.256207,,,,,,0
1018,OGEOGIB,OGEECHEE & OLD GROVE POINT NB,,32.003269,-81.244746,,,,,,0
1019,OGECOIB,OGEECHEE & COHEN NB,,32.004429,-81.243515,,,,,,0
1020,OGEBRIB,OGEECHEE & BURTON NB,,32.011874,-81.234566,,,,,,0
1021,HENEBR,HENRY & E BROAD WB,,32.061495,-81.091146,,,,,,0
1023,HENHAB,HENRY & HABERSHAM WB,,32.062105,-81.093402,,,,,,0
1025,HENBAR,HENRY & BARNARD WB,,32.063782,-81.09999,,,,,,0
1026,HENMON,HENRY & MONTGOMERY WB,,32.064365,-81.102076,,,,,,0
1028,OGEBPIB,OGEECHEE & BERWICK NB,,32.022809,-81.226271,,,,,,0
1030,OGECTIB,OGEECHEE & COTTONVALE NB,,32.028837,-81.221666,,,,,,0
1031,OGEMOIB,OGECHEE & MOOSE NB,,32.034425,-81.217453,,,,,,0
1032,OGEDIIB,OGEECHEE & DERRICK INN NB,,32.036914,-81.215362,,,,,,0
1033,OGEDFIB,OGEECHEE & DEAN FOREST NB,,32.039319,-81.207908,,,,,,0
1034,AFH,W ANDERSON & MLK WB,,32.06397,-81.10381,,,,,,0
1036,OGESCIB,OGEECHEE & SALT CREEK NB,,32.040316,-81.20008,,,,,,0
1039,OGETOIB,OGEECHEE & TOWER NB,,32.041733,-81.192156,,,,,,0
1040,OGESHIB,OGEECHEE & SANDMAN HOTEL NB,,32.042617,-81.188647,,,,,,0
1041,OGEPAIB,OGEECHEE & PALM HARBOR HOMES NB,,32.043112,-81.186679,,,,,,0
